Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011
136,"team317 南京外国语学校",6,30:03:40,"00:17:58 (-4)","02:55:22 (-3)",(-11),02:26:01,,"01:31:49 (-1)","03:36:58 (-48)",,,00:35:32,
137,"team574 清华大学",5,04:56:17,00:15:01,"00:53:46 (-1)",(-6),01:40:19,,01:11:19,,(-1),,00:35:52,
138,"team784 温州中学",5,06:24:31,"00:10:02 (-1)","01:21:53 (-2)",(-2),"00:42:50 (-1)",(-9),"00:56:32 (-1)",,(-9),,01:33:14,
139,"team550 福州大学",5,06:37:36,"00:12:26 (-3)",00:29:27,(-8),"01:19:31 (-1)",,"01:16:23 (-1)",,,,"00:59:49 (-2)",(-2)
140,"team861 长沙理工大学",5,06:52:06,"00:16:35 (-1)",00:53:25,(-7),03:04:19,,01:26:34,,(-2),,"00:31:13 (-1)",
141,"team983 中山大学",5,07:00:49,00:05:38,"00:26:42 (-1)",(-9),01:52:32,,"01:30:10 (-1)",,(-4),,"02:05:47 (-1)",
142,"team551 福州大学",5,07:12:55,00:03:25,01:47:00,,02:55:38,(-1),01:50:54,,(-2),,00:35:58,
143,"team043 浙江工业大学",5,07:24:19,"00:14:22 (-1)",02:27:20,,02:39:50,(-6),00:34:10,,(-1),,01:08:37,(-1)
144,"team022 东北大学",5,07:49:19,00:07:17,01:56:01,02:48:16,(-2),(-3),02:08:06,,,,00:49:39,
145,"team846 哈尔滨工业大学（威海）",5,08:14:47,00:16:00,"01:16:28 (-1)",,"03:04:29 (-3)",(-1),01:21:08,,(-2),,"00:36:42 (-1)",
146,"team041 浙江工业大学",5,08:28:28,"00:20:53 (-2)",00:57:09,(-6),"03:02:20 (-1)",,01:46:24,,(-6),,01:21:42,
147,"team1070 重庆市育才中学",5,08:31:44,"00:17:33 (-2)",00:32:35,,"01:36:37 (-1)",,"01:12:06 (-1)",,,,"02:12:53 (-4)",
148,"team040 浙江省春晖中学",5,08:52:00,"00:12:57 (-2)","00:35:51 (-2)",(-14),"02:25:24 (-2)",,"01:32:44 (-2)",,,,01:25:04,
149,"team467 华南理工大学",5,09:26:48,00:09:40,"03:21:07 (-3)",,"02:01:02 (-1)",,"01:22:57 (-1)",,,,00:52:02,
150,"team525 华中科技大学",5,09:34:31,00:08:51,"03:11:52 (-4)",(-3),02:09:12,,01:29:45,,,,"00:54:51 (-1)",
151,"team133 南京信息工程大学",5,09:54:07,"00:06:25 (-1)","01:03:10 (-1)",(-5),"02:44:04 (-3)",,02:00:54,,,,"01:39:34 (-2)",
152,"team396 西安电子科技大学",5,09:55:52,00:18:35,"02:06:07 (-4)","01:10:32 (-1)",03:01:39,,01:38:59,,,,(-7),
153,"team650 东南大学",5,10:28:50,00:04:07,"01:18:56 (-2)",,"04:57:40 (-3)",,01:48:13,,,,00:39:54,
154,"team1031 东北大学秦皇岛分校",5,10:34:33,"00:13:14 (-2)","02:00:41 (-2)",(-2),"03:41:57 (-1)",,01:58:48,,,,00:59:53,
155,"team1116 中山市中山纪念中学",5,11:01:36,"00:13:02 (-1)","03:19:45 (-5)",(-2),"03:14:49 (-2)",,01:01:37,,(-1),,00:32:23,
156,"team466 华南理工大学",5,11:03:30,00:12:51,02:07:25,(-1),01:07:20,(-6),02:57:52,,(-3),,"02:38:02 (-6)",
157,"team850 香港中文大学（深圳）",5,11:16:29,"00:56:55 (-7)","02:23:04 (-4)",(-5),"01:58:12 (-1)",,01:38:04,,(-3),,00:20:14,
158,"team884 中南大学",5,11:21:02,"00:19:38 (-6)","01:49:08 (-3)",(-9),02:55:18,,02:05:16,,,,"00:51:42 (-1)",
159,"team609 哈尔滨理工大学",5,11:29:42,00:10:56,"01:41:57 (-2)",(-6),"03:29:22 (-1)",,"02:39:13 (-2)",,,,"01:28:14 (-1)",
160,"team900 西南科技大学",5,11:44:49,00:05:29,"00:54:38 (-2)",(-1),"03:23:55 (-2)",(-1),"02:01:16 (-2)",,,,"02:19:31 (-3)",
161,"team080 北京理工大学",5,11:51:20,"00:15:07 (-1)","02:36:30 (-1)",(-4),"03:09:10 (-1)",,"02:23:00 (-3)",(-6),,,01:27:33,
162,"team750 上海大学",5,12:20:07,00:11:27,"02:51:51 (-12)",(-19),"01:09:29 (-2)",,"02:27:04 (-1)",,,,"00:20:16 (-1)",
163,"team179 南京大学",5,12:22:20,"00:12:50 (-1)","02:46:17 (-2)",,"04:32:18 (-3)",,02:05:12,,,,00:45:43,
164,"team1055 北京市第十二中学",5,12:29:52,"00:22:07 (-4)","02:27:17 (-3)",(-9),"02:47:14 (-5)",,"01:19:00 (-2)",,,,"00:34:14 (-1)",
165,"team426 浙江万里学院",5,12:33:22,"00:40:15 (-3)","03:35:31 (-3)",(-4),02:47:10,,"02:17:03 (-1)",,,,00:53:23,
166,"team048 浙江工业大学",5,12:51:23,"00:27:18 (-2)","03:19:12 (-5)",,02:42:29,,02:18:37,,(-2),,"01:23:47 (-1)",
167,"team1069 重庆市育才中学",5,12:51:40,00:14:02,"02:12:19 (-2)",,02:27:45,,01:20:41,,,,"03:56:53 (-6)",
168,"team175 南京大学",5,13:11:36,"00:17:54 (-1)",01:40:16,,"04:10:26 (-4)",,02:22:23,(-8),(-1),,03:00:37,
169,"team438 沈阳航空航天大学",5,13:14:45,00:16:44,"03:13:50 (-5)",,04:32:05,,"01:35:03 (-1)",,,,01:37:03,
170,"team740 重庆一中",5,13:36:35,"00:18:16 (-2)","02:20:23 (-4)",(-20),"02:42:32 (-1)",(-1),"03:18:53 (-1)",,(-15),,"01:56:31 (-1)",
171,"team862 长沙理工大学",5,13:53:01,00:21:39,"02:26:11 (-4)",,02:52:24,,"04:18:56 (-2)",,,,"01:33:51 (-1)",
172,"team702 吉林大学",5,13:58:45,00:06:50,"02:05:40 (-6)",(-7),03:17:57,,03:16:47,,(-2),,"02:31:31 (-2)",
173,"team526 华中科技大学",5,13:59:52,"00:10:47 (-1)","01:20:02 (-1)",,"02:53:12 (-3)","04:46:40 (-2)","02:09:11 (-1)",,(-6),,(-6),
174,"team807 南京邮电大学",5,14:05:46,00:06:21,04:56:16,,04:14:08,,02:28:17,,,,02:20:44,
175,"team1026 清华大学附属中学",5,14:15:43,00:17:00,"02:53:58 (-13)",,02:51:29,(-3),"02:17:09 (-3)",,,,00:36:07,
176,"team950 杭州第二中学",5,14:20:39,"01:00:49 (-5)",00:56:56,,"03:50:12 (-2)",,"04:31:29 (-2)",,,,"00:41:13 (-1)",
177,"team140 浙大城市学院",5,14:40:57,00:06:24,"03:40:18 (-2)",,"04:50:14 (-3)",,03:11:07,,,,"00:52:54 (-1)",
178,"team231 浙江工商大学",5,14:49:50,"01:03:23 (-6)","03:15:08 (-1)",(-3),"01:14:18 (-2)",,"02:32:49 (-5)",,,,02:04:12,
179,"team565 电子科技大学",5,15:13:57,"00:35:15 (-4)","04:08:52 (-2)",(-2),"03:49:24 (-3)",,"01:59:24 (-1)",,,,01:21:02,
180,"team050 中国民航大学",5,15:15:32,"00:30:18 (-3)",04:55:20,(-4),"04:09:34 (-1)",,01:55:10,,,,"02:05:10 (-1)",
181,"team674 南方科技大学",5,15:39:53,"00:16:24 (-1)",01:55:36,(-7),"03:15:16 (-6)",,"01:33:09 (-2)",,,,"03:59:28 (-5)",
182,"team766 重庆大学",5,15:48:22,01:31:52,"03:24:20 (-4)",,04:13:27,,"02:53:09 (-1)",,,,02:05:34,
183,"team1141 山河大学",5,16:11:34,02:30:57,"03:38:32 (-1)",,"03:21:20 (-1)",,02:59:08,,,,"02:41:37 (-1)",
184,"team872 复旦大学",5,16:15:36,"00:36:33 (-5)","04:27:39 (-5)",,"02:27:08 (-1)",,"02:58:49 (-1)",,(-2),,"01:05:27 (-2)",
185,"team808 南京邮电大学",5,16:48:20,"00:10:38 (-1)","04:36:27 (-7)","04:17:21 (-1)",,,03:09:43,,,,01:34:11,
186,"team042 浙江工业大学",5,17:18:44,"02:36:01 (-5)","01:12:38 (-1)",,"02:16:36 (-2)",,"04:54:01 (-3)",,,,"01:59:28 (-2)",
187,"team801 南京邮电大学",5,17:19:07,00:21:02,"04:56:42 (-11)",(-2),"03:55:19 (-1)",,"02:21:36 (-1)",,,,"01:04:28 (-1)",
188,"team871 复旦大学",5,18:09:14,"00:18:41 (-1)","04:52:11 (-4)",,"04:59:45 (-6)",,"01:56:45 (-1)",,,,"01:41:52 (-1)",
189,"team077 北京理工大学",5,18:24:10,00:14:06,(-28),,01:49:54,,02:52:33,"04:40:48 (-23)",,,01:06:49,
190,"team1065 重庆市育才中学",5,18:32:24,"00:22:02 (-1)","02:47:43 (-9)",(-1),03:14:09,,"03:34:21 (-2)",,(-2),,"03:34:09 (-3)",
191,"team1118 东北农业大学",5,19:31:28,00:07:33,"03:16:36 (-17)",(-1),"03:31:12 (-3)",,03:44:48,,,,"01:11:19 (-3)",
192,"team250 武汉大学",5,36:38:28,"00:13:00 (-2)",03:01:03,(-14),,,"03:48:23 (-1)","04:55:30 (-55)",,,"04:20:32 (-3)",
193,"team990 雅礼中学",4,04:55:52,00:10:41,01:03:22,,,,"01:57:16 (-1)",,,,01:24:33,
194,"team819 长沙市中雅培粹学校",4,05:01:56,00:02:45,"02:06:23 (-2)",,(-4),,01:20:08,,,,"00:32:40 (-1)",
195,"team102 浙江师范大学",4,05:02:16,00:03:19,(-4),,"02:22:09 (-3)",(-3),01:00:35,,,,00:36:13,
196,"team581 哈尔滨工业大学",4,05:03:38,00:11:37,(-6),,"02:31:16 (-4)",,00:46:30,,(-4),,00:14:15,
197,"team257 浙江农林大学",4,05:18:35,"00:14:55 (-3)","01:55:28 (-1)",(-2),,,"01:03:25 (-1)",,(-3),,00:24:47,
198,"team169 河南农业大学",4,05:49:22,00:05:33,"01:28:45 (-3)",(-2),(-12),,02:35:44,,,,00:39:20,
199,"team078 北京理工大学",4,06:03:47,"00:15:37 (-1)",01:40:54,,(-1),,"02:12:36 (-1)",(-1),(-1),,01:14:40,
200,"team804 南京邮电大学",4,06:12:50,"00:19:28 (-1)",01:22:13,(-8),(-4),(-3),"02:49:45 (-2)",,,,00:41:24,
201,"team825 北京大学",4,06:13:06,00:54:50,"01:34:51 (-1)",,,,"01:53:43 (-1)",,,,01:09:42,
202,"team1057 大连大学",4,06:17:30,"00:23:02 (-2)",02:22:16,,,(-2),02:06:02,,,,00:46:10,
203,"team992 浙江理工大学",4,06:33:39,00:05:09,(-30),(-3),"01:06:07 (-1)",,"02:48:14 (-1)",,,,01:54:09,
204,"team263 苏州大学",4,06:56:42,00:14:36,(-6),"03:01:41 (-1)",,,"01:56:44 (-2)",,,,00:43:41,
205,"team201 南昌航空大学",4,06:57:29,00:12:59,"03:31:33 (-1)",(-5),(-1),,01:56:45,,,,00:56:12,
206,"team045 浙江工业大学",4,06:59:59,"00:23:09 (-1)","02:42:08 (-1)",(-4),(-5),,01:14:02,,,,02:00:40,
207,"team563 电子科技大学",4,07:00:49,00:11:00,"02:01:11 (-3)",(-2),02:59:07,,(-12),,,,00:49:31,
208,"team011 华东师范大学",4,07:13:52,"00:16:34 (-1)",02:19:50,,(-7),,02:55:08,,,,01:22:20,
209,"team863 长沙理工大学",4,07:23:36,"00:31:13 (-1)",01:27:24,,,,"03:26:38 (-2)",,,,00:58:21,
210,"team495 浙江农林大学暨阳学院",4,07:33:22,00:19:02,"01:22:58 (-3)",,(-4),,02:40:28,,,,"01:50:54 (-1)",
211,"team092 北京化工大学",4,07:33:47,"00:12:38 (-1)",00:41:39,(-10),(-1),(-1),"03:16:18 (-5)",,(-1),,01:23:12,
212,"team336 暨南大学",4,07:47:12,"00:20:37 (-2)",01:07:10,04:31:40,,,(-3),,,,01:07:45,
213,"team371 重庆邮电大学",4,07:55:48,"00:12:19 (-1)",(-4),,"02:59:08 (-8)",,01:01:55,,(-1),,00:42:26,
214,"team286 华东师范大学",4,07:57:42,00:24:54,"03:13:35 (-2)",(-2),(-3),,02:34:11,,,,01:05:02,
215,"team638 重庆科技学院",4,08:08:57,"00:19:28 (-1)","02:48:12 (-5)",,,,"00:56:50 (-1)",,,,01:44:27,
216,"team697 周口师范学院",4,08:43:26,00:08:07,,,"02:11:13 (-1)",,"03:48:52 (-1)",,,,01:55:14,
217,"team178 南京大学",4,08:45:44,"00:15:55 (-1)","03:43:52 (-4)",,,(-1),01:31:28,,,,"01:14:29 (-1)",
218,"team142 浙大城市学院",4,08:53:27,"00:09:27 (-1)",,03:55:36,(-4),,"01:51:41 (-4)",,,,"00:36:43 (-2)",
219,"team898 宁波效实中学",4,08:54:03,00:18:01,(-6),,"02:32:16 (-1)",,"04:22:17 (-2)",,,,00:41:29,
220,"team390 长安大学",4,08:55:53,"00:22:36 (-1)",(-7),,"03:31:37 (-1)",,02:57:21,,,,01:24:19,
221,"team640 郑州轻工业大学",4,08:56:07,00:05:50,02:39:38,(-5),,,03:14:52,,,,"02:15:47 (-2)",
222,"team141 浙大城市学院",4,09:09:01,"00:13:46 (-1)",,(-1),"04:15:58 (-1)",,"02:26:53 (-1)",,(-4),,"00:52:24 (-1)",
223,"team993 浙江理工大学",4,09:17:16,"00:19:40 (-2)",(-6),,"02:43:45 (-1)",,"03:46:43 (-2)",,,,00:47:08,
224,"team172 南京大学",4,09:19:31,"00:27:28 (-2)","03:19:11 (-5)",,(-10),,02:05:53,,,,01:06:59,
225,"team830 中国地质大学（北京）",4,09:26:43,"00:18:59 (-2)","01:23:08 (-3)",,,,"02:09:00 (-2)",,,,"02:35:36 (-2)",
226,"team873 复旦大学",4,09:28:16,"00:25:28 (-1)",,,"04:31:10 (-2)",,"01:26:13 (-2)",,,,"00:45:25 (-2)",
227,"team381 浙江科技学院",4,09:29:55,"00:39:18 (-4)","03:22:20 (-2)",,,,"02:11:29 (-1)",,,,00:56:48,
228,"team734 四川大学",4,09:37:26,"00:29:00 (-2)","02:57:42 (-1)",,03:44:59,,01:25:45,,,,,
229,"team1051 北京邮电大学",4,09:38:01,"00:29:11 (-2)","01:42:05 (-1)",(-1),,,02:16:31,,,,04:10:14,
230,"team844 西南科技大学",4,09:48:16,00:05:43,"01:48:33 (-1)",(-1),,,03:21:04,,,,"03:52:56 (-1)",
231,"team681 华中师范大学",4,09:58:55,00:12:29,(-4),,"04:50:41 (-1)",,"02:21:02 (-2)",,,,"01:14:43 (-1)",
232,"team292 青岛大学",4,10:00:11,"00:11:47 (-3)","03:16:46 (-6)",(-1),(-10),,02:29:13,,,,01:02:25,
233,"team651 东南大学",4,10:00:40,"00:05:05 (-1)","03:48:56 (-4)",,,,03:04:08,,,,01:22:31,
234,"team1066 重庆市育才中学",4,10:00:58,"00:19:28 (-1)","03:44:20 (-7)",,,,01:26:10,,,,"01:31:00 (-1)",
235,"team737 四川大学",4,10:03:04,"00:27:27 (-2)",(-4),,"03:34:22 (-1)",,04:11:52,,,,00:49:23,
236,"team163 中国计量大学",4,10:10:23,"00:33:44 (-4)",(-4),,01:13:41,,"04:06:08 (-2)",,,,02:16:50,
237,"team308 南京外国语学校",4,10:20:35,"00:22:15 (-3)",(-46),,"02:38:03 (-5)",,"02:33:33 (-1)",,,,"01:26:44 (-1)",
238,"team628 中国地质大学（武汉）",4,10:36:11,00:07:47,"04:32:40 (-4)",,,,"01:33:02 (-1)",,(-2),,"02:02:42 (-2)",
239,"team680 华中师范大学",4,10:37:48,"00:11:35 (-2)",(-2),,04:39:04,,"02:54:30 (-1)",,,,"01:32:39 (-1)",
240,"team637 成都信息工程大学",4,10:38:56,"00:10:21 (-1)",(-2),,02:45:37,,"04:45:40 (-6)",,,,00:37:18,
241,"team171 南京大学",4,10:39:29,"00:26:53 (-4)",(-10),,"04:07:23 (-4)",,02:38:19,,,,00:46:54,
242,"team106 浙江师范大学",4,10:41:53,"00:06:58 (-2)","03:17:28 (-3)",,(-3),,02:13:51,,,,"02:23:36 (-3)",
243,"team091 北京化工大学",4,11:03:15,00:17:14,"03:18:26 (-4)",,(-6),,"00:48:19 (-1)",,,,"04:19:16 (-2)",
244,"team199 中山市迪茵公学",4,11:17:42,"00:19:32 (-2)","04:40:10 (-7)",(-1),,,"01:22:41 (-1)",,(-1),,01:35:19,
245,"team914 国防科技大学",4,11:29:07,00:56:08,04:54:04,,,,03:08:51,,,,"02:10:04 (-1)",
246,"team527 华中科技大学",4,11:46:21,00:15:50,,,"04:45:44 (-4)",,02:55:36,,,,"02:09:11 (-1)",
247,"team877 复旦大学",4,11:56:31,"00:08:50 (-1)","03:26:08 (-1)",,,,"04:58:30 (-2)",,,,02:03:03,
248,"team110 东华大学",4,11:58:10,"00:13:11 (-2)","03:16:04 (-11)",(-10),,,02:58:03,,,,01:10:52,
249,"team358 广东工业大学",4,12:00:41,"01:02:01 (-4)","03:55:53 (-2)",,(-2),,"02:03:55 (-1)",,,,02:38:52,
250,"team866 长沙理工大学",4,12:08:03,"00:15:06 (-1)","02:23:58 (-5)",,,,"03:30:41 (-9)",,,,"00:38:18 (-1)",
251,"team991 浙江理工大学",4,12:14:51,"00:13:16 (-3)",(-7),(-1),"03:21:56 (-2)",,02:23:09,,,,"02:36:30 (-6)",
252,"team105 浙江师范大学",4,12:28:15,"00:16:22 (-1)",,(-5),"03:45:34 (-1)",,"01:43:58 (-2)",,(-1),,"03:42:21 (-5)",
253,"team831 中国地质大学（北京）",4,12:33:46,00:06:41,"04:29:34 (-5)",(-1),,,"03:13:40 (-1)",,,,"02:03:51 (-2)",
254,"team501 西南财经大学",4,12:42:15,"00:40:21 (-4)","02:01:13 (-1)",(-3),,,"04:29:47 (-1)",,,,"03:10:54 (-1)",
255,"team978 中山市中山纪念中学",4,12:44:56,"00:22:52 (-4)",,(-5),"02:21:11 (-4)",,03:56:10,,,,"02:24:43 (-3)",
256,"team530 华中科技大学",4,12:53:52,"00:22:05 (-1)",(-12),,"03:28:33 (-3)",,01:30:45,,,,"04:12:29 (-6)",
257,"team643 郑州轻工业大学",4,13:00:09,00:09:08,"03:18:12 (-5)",,,,"04:21:22 (-4)",,,,"01:31:27 (-2)",
258,"team343 湘潭大学",4,13:03:20,00:09:41,"04:56:10 (-10)",,,,02:46:29,,,,01:51:00,
259,"team692 同济大学",4,13:03:56,"00:09:24 (-1)","03:57:19 (-13)",,,,01:33:01,,,,02:44:12,
260,"team335 暨南大学",4,13:15:54,"00:27:16 (-3)","02:57:54 (-9)",(-23),,,02:17:31,,,,"02:33:13 (-3)",
261,"team552 福州大学",4,13:18:28,"00:31:12 (-2)",(-6),,03:51:58,,02:39:19,,,,"04:35:59 (-3)",
262,"team874 复旦大学",4,13:18:47,"00:24:04 (-4)",(-4),"04:14:25 (-2)",,,"04:05:01 (-1)",,,,02:15:17,
263,"team633 成都信息工程大学",4,13:23:11,"00:14:03 (-1)","04:00:39 (-9)",,"03:49:16 (-3)",,(-10),,,,00:59:13,
264,"team510 宁波大学",4,14:29:52,00:07:56,(-14),"04:40:48 (-2)",,,"03:40:30 (-1)",,,,"03:20:38 (-5)",
265,"team027 东北大学",4,14:30:51,00:06:47,(-3),"04:59:05 (-11)",,,"03:01:28 (-6)",,(-1),,00:43:31,
266,"team895 青岛科技大学",4,14:32:24,"00:17:57 (-2)","02:23:03 (-6)",,04:09:55,,"03:41:29 (-4)",,,,(-3),
267,"team566 电子科技大学",4,14:42:29,"00:14:33 (-2)",,,03:09:00,,04:45:12,,,,"04:13:44 (-5)",
268,"team1020 杭州电子科技大学",4,15:13:23,"03:00:12 (-2)",(-12),,03:23:09,(-2),03:23:54,,,,"03:46:08 (-3)",
269,"team897 北京科技大学",4,15:35:29,"00:45:31 (-3)","01:39:15 (-3)",,,,03:03:23,,,,"04:27:20 (-11)",
270,"team019 上海理工大学",4,16:06:58,00:06:09,"04:20:12 (-21)",(-12),,,03:24:11,,,,"00:56:26 (-1)",
271,"team776 华中农业大学",4,16:08:55,00:14:52,"04:13:05 (-10)",,(-1),,03:04:27,,,,"02:36:31 (-8)",
272,"team409 北京邮电大学",4,16:16:54,00:08:20,"03:19:39 (-8)",(-15),,,"04:11:45 (-12)",,,,"01:37:10 (-1)",
273,"team1027 清华大学附属中学",4,17:19:57,03:52:42,04:37:58,,,,04:20:53,,,,"04:08:24 (-1)",
274,"team158 浙大宁波理工学院",4,17:20:32,"00:41:58 (-4)","03:17:45 (-4)",(-6),,,04:20:54,,(-4),,"04:59:55 (-4)",
275,"team417 北京邮电大学",4,17:59:32,"00:22:14 (-2)","04:43:28 (-16)",,,,"04:25:22 (-5)",,,,00:48:28,
276,"team416 北京邮电大学",4,18:26:29,"00:13:27 (-1)","04:56:54 (-8)",,,,"04:49:23 (-1)",,,,"04:26:45 (-2)",
277,"team864 长沙理工大学",4,18:39:35,"00:10:06 (-1)","02:52:13 (-7)",,,,"04:59:17 (-13)",,,,"02:17:59 (-4)",
278,"team815 南京邮电大学",4,18:41:21,"00:08:47 (-3)","03:30:45 (-27)",(-2),,,02:25:53,,,,"00:55:56 (-5)",
279,"team875 复旦大学",3,03:37:17,"00:09:14 (-1)",(-10),,,,02:12:31,,,,00:55:32,
280,"team496 浙江农林大学暨阳学院",3,03:55:36,00:09:30,(-11),,,,02:32:04,,,,01:14:02,
281,"team772 河南工业大学",3,03:57:24,"00:13:28 (-1)",(-10),,,,"02:10:09 (-1)",,,,00:53:47,
282,"team985 金策工业综合大学（朝鲜）",3,04:23:24,"00:40:59 (-1)","01:15:19 (-2)",(-3),,,,,,,"00:47:06 (-2)",
283,"team405 北京邮电大学",3,04:29:37,"00:17:41 (-1)",(-5),(-2),,,01:02:17,,,,"02:09:39 (-2)",
284,"team047 浙江工业大学",3,04:35:36,"00:24:24 (-1)",(-8),,,,01:26:58,,,,02:24:14,
285,"team548 河南工业大学",3,04:40:35,00:13:26,(-4),,,,02:28:12,,,,"01:38:57 (-1)",
286,"team237 徐州工程学院",3,04:43:51,00:14:35,(-5),,,,"03:15:43 (-1)",,,,00:53:33,
287,"team559 福州大学",3,05:09:00,"00:15:32 (-3)",(-2),,,,"01:02:03 (-1)",,,,02:31:25,
288,"team845 浙江工商大学",3,05:09:12,00:06:18,(-3),,(-1),,"03:49:25 (-1)",,,,00:53:29,
289,"team131 南京信息工程大学",3,05:11:06,00:10:59,(-1),(-1),,,03:56:56,,,,01:03:11,
290,"team998 浙江理工大学",3,05:16:14,"00:18:11 (-3)",,(-9),,,02:04:07,,,,"01:13:56 (-2)",
291,"team1077 大连理工大学",3,05:25:38,"00:26:33 (-1)",,,,,01:16:01,,,,03:23:04,
292,"team185 广东工业大学",3,05:28:57,00:12:53,(-1),(-2),,,"02:58:38 (-2)",,,,"01:17:26 (-1)",
293,"team180 南京大学",3,05:33:27,"00:20:02 (-1)",(-2),,,,03:23:59,,,,"01:09:26 (-1)",
294,"team645 上海海事大学",3,05:34:51,"00:12:41 (-1)",,(-5),04:22:31,,(-7),,,,00:39:39,
295,"team188 广东工业大学",3,05:44:19,"00:19:29 (-3)",(-1),(-14),,,03:34:52,,,,00:49:58,
296,"team867 大连理工大学",3,05:45:19,"00:10:24 (-1)",(-3),,,,"03:31:11 (-1)",,,,01:23:44,
297,"team882 中南大学",3,05:45:26,"00:13:43 (-1)",,(-1),,,03:28:08,,,,"01:03:35 (-2)",
298,"team553 福州大学",3,05:45:51,"00:07:21 (-1)",(-3),,,,01:09:47,,,,04:08:43,
299,"team480 北方工业大学",3,06:00:42,"00:24:41 (-1)",,,,(-8),"02:57:05 (-2)",,,,"00:58:56 (-2)",
300,"team174 南京大学",3,06:04:30,"00:33:54 (-4)",(-5),,,,01:05:56,,,,03:04:40,
301,"team009 长乐一中",3,06:07:14,"00:06:04 (-1)",,(-5),,,"01:14:12 (-6)",,,,02:26:58,
302,"team696 同济大学",3,06:10:53,"00:13:39 (-1)",,,,,"01:53:13 (-1)",,,,03:24:01,
303,"team524 华中科技大学",3,06:26:24,"00:39:38 (-2)",(-1),,(-5),,"01:46:09 (-1)",,,,03:00:37,
304,"team070 常熟理工学院",3,06:29:06,00:08:28,"03:02:33 (-2)",,,,02:38:05,,,,(-9),
305,"team026 东北大学",3,06:32:14,"00:18:07 (-2)",(-1),,"03:17:51 (-3)",,(-3),,,,01:16:16,
306,"team176 南京大学",3,06:37:00,"00:28:51 (-1)",(-4),,,,02:59:52,,,,"02:08:17 (-2)",
307,"team453 河海大学",3,06:37:08,00:33:17,,(-4),,,"04:13:58 (-1)",,,,01:29:53,
308,"team511 宁波大学",3,06:41:53,00:05:12,(-4),,,,"03:10:34 (-4)",,,,02:06:07,
309,"team1071 中山市中山纪念中学",3,06:42:50,"00:17:10 (-3)",,,"01:37:04 (-2)",,(-1),,,,"02:28:36 (-2)",
310,"team518 大连海事大学",3,06:43:35,"00:21:52 (-1)",,(-1),,,01:59:57,,,,04:01:46,
311,"team921 华南师范大学",3,06:45:19,"00:17:08 (-2)",(-4),,,,"03:25:07 (-1)",,,,02:03:04,
312,"team558 福州大学",3,06:46:35,"00:11:04 (-1)",(-3),,(-4),04:56:07,01:19:24,,,,(-5),
313,"team546 大连海事大学",3,06:46:52,00:07:29,(-8),(-6),,,"03:56:33 (-5)",,,,01:02:50,
314,"team282 华东师范大学",3,06:48:29,"00:19:13 (-2)",(-11),,(-4),,"01:49:31 (-2)",,(-1),,"02:19:45 (-3)",
315,"team392 长安大学",3,06:50:29,00:32:32,(-2),,,,"03:21:08 (-1)",,,,02:36:49,
